Date	Price	Open	High	Low
11/4/2020	14160	14025	14160	13643
11/5/2020	15574	14160	15574	14160
11/6/2020	15571.7	15568	15876	15441
11/7/2020	14844.1	15571.7	15610	14734
11/8/2020	15501	14844.1	15554.2	14844.1
11/9/2020	15329	15501	15687	15063.7
11/10/2020	15312	15329	15402	15177
11/11/2020	15710	15312	15911.6	15312
11/12/2020	16294	15710	16294	15656
11/13/2020	16310	16296.2	16405	16079
11/14/2020	16058.3	16310	16310	15833
11/15/2020	15962.2	16057	16095	15871
11/16/2020	16710	15962.2	16827.6	15906
11/17/2020	17674.9	16710	17740	16627
11/18/2020	17773	17674.9	18212	17378.6
11/19/2020	17810	17773	18140	17486
11/20/2020	18669	17810	18699.7	17810
11/21/2020	18660	18669	18944.5	18521
11/22/2020	18399	18660	18668	18122
11/23/2020	18373	18399	18655	18158
11/24/2020	19134.8	18373	19349	18357
11/25/2020	18730	19134.8	19303	18730
11/26/2020	17219	18727	18824	16592
11/27/2020	17169.3	17211.7	17492	16614.9
11/28/2020	17746	17169.3	17800	16997
11/29/2020	18196	17746	18212	17579.2
11/30/2020	19686	18196	19723	18196
12/1/2020	18807	19695	19733	18727
12/2/2020	19241	18807	19275	18538
12/3/2020	19447	19241	19560	18999.4
12/4/2020	18657	19452	19452	18657
12/5/2020	19157	18657	19157	18657
12/6/2020	19410	19157	19410	19015.6
12/7/2020	19196	19410	19410	18959.4
12/8/2020	18335	19196	19299	18335
12/9/2020	18560	18337	18630	17827
12/10/2020	18260	18560	18560	18155
12/11/2020	18050	18260	18260	17764
12/12/2020	18810.6	18050	18821	18050
12/13/2020	19180	18818	19338.1	18747
12/14/2020	19281	19180	19281	19076
12/15/2020	19459	19282	19548	19135
12/16/2020	21322	19459	21322	19388
12/17/2020	22806.6	21322	23492	21322
12/18/2020	23127	22806.6	23142	22544
12/19/2020	23804	23127	24058	22966
12/20/2020	23427	23804	24099	23331.7
12/21/2020	22701	23432.7	23901	22483
12/22/2020	23805	22701	23805	22489.7
12/23/2020	23234	23805	23916	22917
12/24/2020	23735	23234	23735	22860
12/25/2020	24717	23743	24717	23491
12/26/2020	26412	24717	26577	24566
12/27/2020	26241	26410	28051.1	26241
12/28/2020	27058	26241	27308	26241
12/29/2020	27315	27058	27315	25923
12/30/2020	28880	27316	28892	27316
12/31/2020	28933	28880	29133	28358
1/1/2021	29346	28933	29498	28932
1/2/2021	32185	29346	33168	29192
1/3/2021	32971	32183	34253	32110
1/4/2021	32020	32971	33403	29178
1/5/2021	33996	32020	33996	30979.1
1/6/2021	36755	33986	36755	33901
1/7/2021	39407	36755	39672	36755
1/8/2021	40509	39407	41616	37723
1/9/2021	40171	40509	41046	38966
1/10/2021	38226	40171	41209.3	37436
1/11/2021	35476	38226	38226	31842
1/12/2021	34103	35448	35838.6	33616
1/13/2021	37375	34106	37418	33160
1/14/2021	39170	37374	39750	37193
1/15/2021	36741	39145	39476	35268
1/16/2021	36055	36741	37750	35809
1/17/2021	35903	36061	36570	33914
1/18/2021	36699	35913	36906	35180
1/19/2021	35958	36699	37673	35958
1/20/2021	35521.1	35915	36263	33447
1/21/2021	30873	35522	35522	30609
1/22/2021	33062	30852	33631	28991
1/23/2021	32099	33062	33062	31773
1/24/2021	32298	32099	32830	31481
1/25/2021	32268.1	32298	34693	32268.1
1/26/2021	32519	32268.1	32735.1	31434
1/27/2021	30454	32519	32519	29815
1/28/2021	33331	30454	33418	30344
1/29/2021	34280.7	33350	38056	32466
1/30/2021	34334	34268	34791	33136.6
1/31/2021	33141	34334	34334	32270
2/1/2021	33559	33141	34460.1	32595
2/2/2021	35563	33559	35960	33559
2/3/2021	37677	35563	37677	35563
2/4/2021	36975	37677	37998	36521
2/5/2021	38260	36975	38260	36759
2/6/2021	39257	38260	40780	38260
2/7/2021	38841	39257	39561	38061
2/8/2021	46440	38841	46440	38250
2/9/2021	46486	46440	48004	45882
2/10/2021	44835	46486	47056	44541
2/11/2021	47966	44835	47981	44444
2/12/2021	47389	47966	48540	47072
2/13/2021	47177	47389	47939	46582
2/14/2021	48587	47177	49279	47177
2/15/2021	47941	48587	48694	46563
2/16/2021	49225	47941	49533.5	47643
2/17/2021	52060	49225	52284	49225
2/18/2021	51566	52060	52433	51356.9
2/19/2021	55847	51566	56093	51079
2/20/2021	55838	55847	57352	55182
2/21/2021	57376	55838	58238	55639
2/22/2021	54078	57376	57376	48383
2/23/2021	48888	54078	54078	45343.5
2/24/2021	49715	48888	51043	47179
2/25/2021	47144	49715	51511	47144
2/26/2021	46319	47144	48250	45320
2/27/2021	46217	46319	47766.9	46217
2/28/2021	45300	46217	46360.5	43380
3/1/2021	49572	45300	49572	45300
3/2/2021	48526	49572	49572	47453.6
3/3/2021	50425	48526	52018	48526
3/4/2021	48368	50425	51556	48059
3/5/2021	48811	48368	49277	46662
3/6/2021	48895	48811	49043.1	47515.4
3/7/2021	51031.2	48895	51031.2	48895
3/8/2021	52395	51031.2	52395	49821
3/9/2021	54949.4	52395	54949.4	52395
3/10/2021	55955.2	54950	57033	53698.7
3/11/2021	57869	55939	57921	54834
3/12/2021	57315	57869	57869	55946
3/13/2021	61207	57315	61207	56488
3/14/2021	59005	61207	61468	59005
3/15/2021	55644	59005	60141.1	55644
3/16/2021	56924	55644	56924	54049
3/17/2021	58870	56924	58870	54576
3/18/2021	57640	58870	59799	57580
3/19/2021	58074	57640	58961	57030
3/20/2021	58087	58074	59421	58074
3/21/2021	57368	58087	58499.5	56200
3/22/2021	54074	57368	58036	54074
3/23/2021	54331	54074	55646.9	53541.2
3/24/2021	52347.2	54331	56919	52347.2
3/25/2021	51363	52347.2	52926	50874
3/26/2021	54992.9	51363	54992.9	51363
3/27/2021	55886	54992.9	56249	54373
3/28/2021	55773	55886	56326	55089
3/29/2021	57672.3	55773	58162	54984
3/30/2021	58841	57672.3	59349	57278
3/31/2021	58796	58841	59453	57698
4/1/2021	58727.4	58796	59172.9	58498
4/2/2021	58959	58727.4	59834	58727.4
4/3/2021	57023	58959	59499	57023
4/4/2021	58240	57023	58240	57023
4/5/2021	59145	58240	59145	57034
4/6/2021	57991	59145	59200	57603
4/7/2021	55960	57991	58490	55960
4/8/2021	58110	55960	58110	55960
4/9/2021	58114	58110	58683	57849
4/10/2021	59823.8	58114	60984	58114
4/11/2021	60034.8	59823.8	60486	59411
4/12/2021	59900	60034.8	60701	59747
4/13/2021	63518	59900	63518	59900
4/14/2021	62942.7	63518	64374	62065
4/15/2021	63196	62907	63475	62348
4/16/2021	61325	63196	63453	60286
4/17/2021	59970	61325	62367.7	59970
4/18/2021	56163	59970	60223	54416.8
4/19/2021	55639	56173	57359	54912.8
4/20/2021	56476	55639	56950	54398
4/21/2021	53822	56476	56476	53822
4/22/2021	51781.3	53822	55067	51781.3
4/23/2021	51139	51781.3	51781.3	48719.6
4/24/2021	50167	51139	51139	49572
4/25/2021	49116.3	50167	50539	48409.8
4/26/2021	54103	49129	54214	49129
4/27/2021	55044	54103	55215	53660
4/28/2021	54860	55044	55575	54090
4/29/2021	53566	54860	54860	52631
4/30/2021	57637	53566	57637	53339
5/1/2021	57774	57634.7	58265	57259
5/2/2021	56605	57774	57774	56385
5/3/2021	57147	56605	58686	56605
5/4/2021	53264	57147	57147	53264
5/5/2021	57477	52960	57477	52960
5/6/2021	56451	57487	57843	55897
5/7/2021	57349	56451	58101	55606
5/8/2021	58894	57349	59327	57317
5/9/2021	58276	58894	58956.5	56977
5/10/2021	55851	58276	59454.3	55448
5/11/2021	56715	55851	56724	54789
5/12/2021	49725	56715	57688	49725
5/13/2021	49747	49725	51154	48120.6
5/14/2021	49917	49747	51168	49289
5/15/2021	46784.9	49917	50526.2	46784.9
5/16/2021	46582.9	46784.9	49460	45340
5/17/2021	43544	46569	46569	42304
5/18/2021	42935	43544	45474	42611.8
5/19/2021	36755	42935	42935	35303.4
5/20/2021	40578	36755	41827	35198.4
5/21/2021	37415	40550.1	41500	35188
5/22/2021	37585	37415	38662	36150
5/23/2021	34730.3	37585	38186	32623
5/24/2021	38772.9	34730.3	39201	34730.3
5/25/2021	38363	38772.9	39761	36760.5
5/26/2021	39301	38363	40497.8	38020.2
5/27/2021	38435	39301	40120	37381
5/28/2021	35667	38484.7	38484.7	35028
5/29/2021	34570	35667	36910.5	33681
5/30/2021	35615	34570	36138	33680
5/31/2021	37305	35615	37305	34527
6/1/2021	36672.6	37305	37624.8	35928
6/2/2021	37590	36672.6	38053	36192.3
6/3/2021	39209	37590	39209	37371
6/4/2021	36854	39209	39209	36532
6/5/2021	35543	36844	37690.3	35296
6/6/2021	35782	35543	36238	35496
6/7/2021	33596	35782	36613.3	33596
6/8/2021	33415	33596	33744.8	31547.6
6/9/2021	37347	33415	37490	32673
6/10/2021	36649.2	37347	37933	36559
6/11/2021	37338	36649.2	37427	36342
6/12/2021	35531	37338	37338	35185
6/13/2021	39004	35531	39021.1	34984
